ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000734,1,0,30,0,58522,0,0
100000735,1,1,66,1,103496,0,2
100000736,1,0,46,2,113772,1,0
100000737,0,0,34,0,39497,1,0
100000738,1,0,30,2,107205,1,1
100000739,0,1,34,2,118375,2,2
100000740,0,0,53,1,97498,0,0
100000741,0,0,28,0,20000,0,0
100000742,0,0,37,1,70531,1,0
100000743,0,0,27,1,93381,1,1
100000744,0,0,52,3,153258,1,0
100000745,1,0,35,1,38981,0,0
100000746,1,0,47,2,137467,2,2
100000747,1,0,44,1,64542,0,1
100000748,1,0,30,2,130179,1,2
100000749,0,0,45,2,140825,1,1
100000750,0,1,48,1,91108,0,2
100000751,0,0,23,1,92156,1,1
100000752,0,0,45,2,110769,1,2
100000753,0,1,75,2,131443,2,0
100000754,0,0,33,0,87671,1,2
100000755,0,0,45,1,62491,0,0
100000756,0,0,21,0,45585,0,0
100000757,1,0,42,3,120452,1,1
100000758,0,0,30,2,126593,1,2
100000759,1,1,46,1,75325,0,1
100000760,0,0,36,0,66451,1,0
100000761,0,0,23,0,49862,0,0
100000762,0,0,50,3,141287,1,2
100000763,0,0,34,1,87528,0,1
100000764,0,0,25,2,107046,2,1
100000765,1,0,38,0,70722,1,2
100000766,1,0,25,2,108467,1,1
100000767,0,0,42,3,123303,1,0
100000768,1,0,36,0,53929,0,2
100000769,1,0,32,1,42020,0,0
100000770,1,0,45,3,128573,2,0
100000771,0,0,21,0,33346,0,0
100000772,1,1,49,1,83610,0,2
100000773,0,1,18,1,30755,0,0
100000774,1,1,56,2,107367,1,1
100000775,1,0,39,0,71745,0,2
100000776,1,0,34,0,79861,1,0
100000777,1,1,28,1,111799,1,2
100000778,1,1,43,3,113040,1,1
100000779,0,0,35,2,115118,2,2
100000780,1,0,35,0,68714,0,2
100000781,1,0,49,1,74213,0,1
100000782,1,1,32,2,102875,1,0
100000783,1,1,34,2,142611,2,2
100000784,1,0,42,2,94357,1,0
100000785,0,1,50,3,127293,1,1
100000786,1,0,35,0,41466,1,0
100000787,0,0,39,2,75125,1,0
100000788,0,0,37,1,106678,1,2
100000789,0,0,46,2,168280,2,2
100000790,0,1,55,3,120774,2,0
100000791,1,1,26,0,44111,1,1
100000792,1,1,35,2,94753,1,1
100000793,0,1,36,0,82641,1,1
100000794,0,1,44,3,117203,2,1
100000795,0,0,55,2,109746,1,0
100000796,1,0,37,0,72255,0,1
100000797,0,1,39,0,22364,0,1
100000798,0,1,51,2,89645,1,0
100000799,0,0,22,1,65858,0,1
100000800,0,0,28,1,76533,0,1
100000801,0,0,31,0,36455,0,1
100000802,1,1,37,1,80316,0,1
100000803,0,1,40,1,91652,0,2
100000804,1,0,31,0,20321,0,0
100000805,0,1,58,3,125238,1,0
100000806,1,1,28,1,60478,0,2
100000807,0,0,34,1,69128,0,2
100000808,0,0,50,1,81326,0,1
100000809,0,1,46,2,94226,1,1
100000810,1,1,37,0,20000,0,0
100000811,1,1,41,1,43130,0,0
100000812,1,1,47,3,106970,1,1
100000813,0,0,37,0,41736,0,0
100000814,0,1,45,2,122253,1,1
100000815,0,0,26,1,51406,0,1
100000816,0,1,38,2,93281,1,1
100000817,1,1,18,0,22163,0,0
100000818,0,0,26,1,97621,1,2
100000819,0,0,23,0,39546,0,1
100000820,0,0,52,3,122206,1,0
100000821,1,1,31,1,53195,0,1
100000822,0,0,40,2,104355,1,1
100000823,1,0,25,2,87447,1,1
100000824,1,1,34,0,66555,0,1
100000825,1,1,33,0,50170,0,1
100000826,0,1,26,2,103063,1,0
100000827,0,0,47,1,94010,1,0
100000828,1,0,18,0,33144,0,0
100000829,0,0,44,2,75492,1,0
100000830,1,1,69,3,132229,1,0
100000831,0,1,27,1,46208,0,1
100000832,1,0,37,0,58865,0,0
100000833,0,0,18,1,65281,0,2
100000834,0,1,36,1,64424,0,0
100000835,1,0,18,1,62013,1,0
100000836,0,1,44,1,104447,1,0
100000837,1,1,30,0,26207,0,2
100000838,1,1,18,0,39556,0,0
100000839,0,0,21,1,76993,1,2
100000840,1,1,18,0,42697,1,1
100000841,1,0,33,1,61831,0,2
100000842,1,1,47,1,94630,1,1
100000843,0,0,31,0,43745,0,0
100000844,0,0,22,0,76061,1,1
100000845,0,0,26,0,45889,1,0
100000846,1,1,37,2,91582,1,1
100000847,1,1,18,0,63755,1,0
100000848,0,1,43,2,115266,1,0
100000849,0,0,41,3,125799,2,1
100000850,1,0,18,0,26915,0,1
100000851,0,0,50,2,125168,1,2
100000852,0,0,18,1,47796,0,1
100000853,1,1,33,2,116785,1,2
100000854,0,1,50,1,78667,1,0
100000855,0,0,18,0,47516,1,1
100000856,0,0,18,0,81036,0,1
100000857,1,0,22,1,71345,0,1
100000858,0,1,22,0,71525,0,2
100000859,0,1,34,2,113883,1,2
100000860,1,0,29,0,44792,0,2
100000861,0,0,29,0,63359,0,1
100000862,0,0,30,2,131306,2,0
100000863,1,1,33,1,53781,0,0
100000864,1,0,25,1,62135,0,2
100000865,1,1,39,0,54489,0,0
100000866,1,0,35,2,127734,2,2
100000867,1,0,23,0,20000,0,1
100000868,1,0,58,1,102392,0,2
100000869,1,0,20,1,73791,0,2
100000870,0,1,44,3,109463,2,0
100000871,0,0,26,1,84817,0,1
100000872,1,1,40,3,123463,2,1
100000873,1,1,42,2,88398,1,1
100000874,1,1,46,1,89249,1,2
100000875,0,1,53,3,137651,1,2
100000876,1,1,25,0,33259,0,0
100000877,0,1,71,1,77489,0,2
100000878,1,0,41,3,121835,1,1
100000879,1,0,26,2,107478,1,2
100000880,0,0,19,0,35381,0,2
100000881,0,0,64,3,96565,1,0
100000882,1,0,56,2,108414,1,2
100000883,1,0,36,1,75678,1,1
100000884,1,0,45,2,110994,1,0
100000885,0,1,52,2,98713,1,0
100000886,0,0,37,1,65268,0,0
100000887,0,0,31,0,96563,0,2
100000888,1,1,35,2,112213,2,0
100000889,1,1,46,1,71104,0,1
100000890,0,1,36,2,114230,1,1
100000891,1,0,21,1,92410,1,1
100000892,1,1,45,3,135017,1,0
100000893,0,1,18,1,44290,0,0
100000894,1,1,27,1,68373,1,2
100000895,0,1,51,2,77000,1,0
100000896,0,0,39,1,75563,1,1
100000897,0,0,39,1,71310,0,2
100000898,0,1,37,2,75826,1,0
100000899,1,1,49,1,74360,1,1
100000900,0,0,35,2,102816,1,2
100000901,1,0,18,0,37448,0,2
100000902,0,0,39,1,51369,0,0
100000903,1,0,18,0,90867,1,2
100000904,0,0,18,0,58056,0,2
100000905,0,1,55,1,61483,0,1
100000906,0,1,49,1,81507,0,0
100000907,1,0,30,1,78551,1,1
100000908,1,1,35,1,52766,0,1
100000909,1,0,37,2,84565,1,0
100000910,1,1,48,1,106620,0,0
100000911,1,0,26,0,48567,0,2
100000912,1,1,25,1,35238,0,0
100000913,0,0,28,2,119401,2,2
100000914,0,1,38,0,54853,0,0
100000915,1,1,39,0,46568,0,0
100000916,0,0,31,0,51042,0,2
100000917,1,0,45,2,101431,1,2
100000918,0,0,23,0,37825,0,2
100000919,0,0,35,2,90897,2,0
100000920,0,0,27,1,86194,1,2
100000921,0,0,24,1,54997,0,0
100000922,1,1,51,3,161941,2,2
100000923,0,1,32,2,124090,2,2
100000924,1,0,24,0,72468,1,0
100000925,0,1,36,1,63549,0,0
100000926,0,1,24,0,49671,0,1
100000927,0,0,43,2,102200,2,0
100000928,1,0,46,3,109999,1,0
100000929,0,0,48,1,60488,0,0
100000930,1,0,23,0,56229,0,1
100000931,1,0,34,0,39250,0,0
100000932,1,1,58,1,72909,0,0
100000933,0,0,33,0,36930,0,0
100000934,0,1,51,1,128641,1,2
100000935,0,0,55,2,99937,1,0
100000936,1,1,19,0,20000,0,0
100000937,0,0,51,2,108506,1,0
100000938,1,1,45,2,99144,1,0
100000939,0,0,47,3,153459,1,2
100000940,1,1,57,1,92131,0,0
100000941,0,1,42,2,118790,1,2
100000942,0,1,37,0,58022,0,2
100000943,0,0,43,2,127578,2,1
100000944,1,1,32,1,91632,0,2
100000945,1,0,42,3,139792,2,0
100000946,0,1,18,0,38843,0,0
100000947,0,1,57,3,97832,1,1
100000948,1,1,29,2,90937,2,0
100000949,0,1,43,3,127715,1,2
100000950,0,0,40,1,79162,0,1
100000951,1,0,37,1,85002,0,2
100000952,1,0,37,2,111844,1,2
100000953,0,0,37,1,49008,0,2
100000954,1,1,18,0,58497,1,1
100000955,1,0,29,2,83696,1,1
100000956,0,1,51,2,88945,1,2
100000957,1,1,23,1,34148,0,0
100000958,1,0,23,1,57459,0,2
100000959,1,1,62,2,124518,1,1
100000960,1,0,51,1,109426,1,1
100000961,1,0,55,3,133863,1,1
100000962,1,0,36,0,59036,0,2
100000963,1,0,39,1,68807,0,2
100000964,0,1,45,3,150944,2,2
100000965,1,0,43,1,63019,0,2
100000966,1,0,35,2,102945,1,0
100000967,0,0,18,0,36886,0,1
100000968,1,0,27,1,94529,1,1
100000969,0,0,18,0,57304,1,0
100000970,1,1,55,1,87894,1,0
100000971,1,0,31,1,53025,0,0
100000972,0,1,34,0,41298,0,0
100000973,1,1,39,1,77474,0,2
100000974,0,1,36,1,36491,0,2
100000975,0,1,42,1,65255,0,2
100000976,0,0,28,2,132035,1,2
100000977,0,1,18,0,66728,1,2
100000978,1,0,57,1,96739,0,0
100000979,0,0,27,0,28578,0,0
100000980,0,1,30,1,46978,0,2
100000981,1,1,26,0,67206,1,2
100000982,0,1,29,2,118772,2,2
100000983,1,0,36,2,90086,1,1
100000984,0,0,45,3,141804,1,1
100000985,1,0,23,1,77842,0,1
100000986,0,0,39,2,93965,1,1
100000987,1,0,27,2,135889,2,0
100000988,1,0,50,2,126856,1,1
100000989,1,0,20,1,44598,0,2
100000990,0,1,37,1,111286,1,2
100000991,1,1,44,1,91027,1,0
100000992,0,0,19,0,38735,0,1
100000993,1,0,37,1,72011,1,2
100000994,1,1,37,1,94393,1,1
100000995,0,0,26,1,59618,1,0
100000996,0,1,33,1,91349,0,1
100000997,1,0,47,1,72200,1,0
100000998,1,1,38,0,23246,0,0
100000999,1,0,30,0,61907,0,2
100001000,0,0,33,2,94115,2,0
100001001,1,1,41,3,163182,2,1
100001002,0,1,51,2,128411,2,2
100001003,0,1,45,3,135036,1,1
100001004,1,0,44,2,113610,2,1
100001005,1,1,54,2,100727,1,0
100001006,1,0,18,0,47861,0,2
100001007,0,0,18,1,62212,1,1
100001008,0,0,18,0,56041,0,2
100001009,1,0,45,1,55889,0,0
100001010,0,0,18,1,65942,0,0
100001011,0,0,35,1,87673,0,2
100001012,1,0,44,1,61479,1,0
100001013,1,0,18,0,79734,1,0
100001014,0,0,27,1,84841,1,1
100001015,1,0,32,0,28615,0,0
100001016,0,1,44,1,85956,0,2
100001017,0,1,18,0,31671,0,0
100001018,0,1,39,2,108873,1,0
100001019,0,0,44,3,136531,1,1
100001020,1,0,37,2,140996,2,1
100001021,0,0,37,1,61320,1,0
100001022,1,0,50,3,132563,1,1
100001023,1,0,38,2,102654,1,2
100001024,1,0,35,2,86224,1,2
100001025,1,0,31,2,114411,2,2
100001026,0,0,43,2,92077,1,1
100001027,1,0,32,0,74779,1,1
100001028,0,1,43,2,111375,1,2
100001029,0,0,36,1,72606,0,1
100001030,1,0,49,3,134372,1,2
100001031,0,0,26,2,88255,1,0
100001032,0,0,36,1,82416,0,2
100001033,0,0,39,2,100636,1,2
100001034,0,0,40,3,138144,2,1
100001035,0,1,49,2,130154,2,1
100001036,1,0,40,3,120640,1,2
100001037,0,1,46,1,52261,0,0
100001038,0,1,59,2,116865,1,0
100001039,0,1,45,1,83863,0,1
100001040,1,0,22,0,88753,1,1
100001041,0,0,18,1,55889,0,1
100001042,0,0,43,2,111703,1,1
100001043,1,0,31,0,31878,0,1
100001044,1,0,39,0,45731,0,0
100001045,1,0,33,2,146701,2,2
100001046,1,1,51,2,152236,1,2
100001047,0,1,49,3,127304,1,0
100001048,0,0,21,0,57303,0,0
100001049,1,0,38,0,79412,0,1
100001050,0,1,31,1,115439,1,1
100001051,0,0,19,1,77664,1,0
100001052,0,0,43,3,134443,2,1
100001053,0,1,33,0,73159,1,1
100001054,1,0,40,2,132444,1,2
100001055,1,1,65,3,140742,1,2
100001056,0,1,51,2,114461,1,1
100001057,0,0,48,2,92013,1,0
100001058,1,0,30,2,101625,2,0
100001059,1,0,21,0,20000,0,1
100001060,1,1,50,3,146443,1,1
100001061,1,0,31,0,58707,1,1
100001062,0,0,36,2,112280,1,2
100001063,1,1,31,2,98387,1,0
100001064,1,0,36,2,106190,1,2
100001065,0,1,64,1,85720,1,0
100001066,0,0,31,1,54494,0,1
100001067,0,0,32,2,75433,1,0
100001068,1,0,37,2,116956,2,0
100001069,1,0,38,0,64719,1,1
100001070,0,0,21,0,57154,0,1
100001071,1,0,18,1,55616,0,2
100001072,1,0,28,2,111736,1,2
100001073,0,1,32,2,77133,1,0
100001074,0,0,25,0,20000,0,0
100001075,0,0,23,0,64676,1,2
100001076,0,0,24,1,71909,0,1
100001077,0,0,30,0,70033,0,2
100001078,1,1,33,2,109691,1,0
100001079,0,0,18,0,23582,0,0
100001080,0,1,28,1,47339,0,0
100001081,1,1,39,1,99394,1,2
100001082,0,1,33,2,106620,2,0
100001083,0,1,18,0,37793,0,0
100001084,0,1,30,0,71808,1,0
100001085,0,1,34,1,87596,0,2
100001086,0,0,44,1,69531,0,2
100001087,1,0,18,1,66656,0,0
100001088,1,0,43,2,87046,1,2
100001089,1,0,29,1,84380,1,2
100001090,1,0,37,0,52521,0,2
100001091,1,0,43,1,91761,1,1
100001092,0,0,24,0,66004,1,2
100001093,1,0,25,1,74770,0,1
100001094,1,0,33,2,99785,2,0
100001095,0,0,43,1,103299,1,1
100001096,0,0,28,1,51320,0,2
100001097,0,0,18,0,44840,0,2
100001098,1,0,26,2,111212,2,0
100001099,0,1,39,2,146639,2,2
100001100,0,1,48,1,50736,0,0
100001101,1,0,28,2,62416,1,1
100001102,1,0,31,1,100163,1,0
100001103,1,0,32,1,49589,0,1
100001104,1,0,33,0,44954,0,1
100001105,0,0,23,0,50743,1,0
100001106,0,1,29,1,110074,1,2
100001107,1,1,37,2,105388,1,0
100001108,1,0,36,2,127779,1,2
100001109,1,0,35,1,93888,0,2
100001110,0,0,22,0,40180,0,0
100001111,1,1,28,1,65150,0,2
100001112,0,1,26,1,87023,0,2
100001113,0,1,47,3,160743,2,1
100001114,1,0,52,3,154423,2,1
100001115,0,0,39,1,62006,1,1
100001116,1,0,54,1,80525,0,2
100001117,1,0,31,2,96604,1,0
100001118,1,1,31,2,90889,1,1
100001119,0,0,19,1,87589,1,1
100001120,1,0,37,0,92583,0,1
100001121,1,0,29,2,98071,1,1
100001122,1,0,36,0,57658,0,1
100001123,0,1,40,1,103394,1,1
100001124,0,1,32,1,118726,1,2
100001125,0,0,21,0,20000,0,1
100001126,0,1,34,2,85177,1,0
100001127,1,1,34,0,63934,0,0
100001128,1,0,35,0,58840,0,2
100001129,0,1,43,2,89991,1,2
100001130,0,1,32,2,107032,1,1
100001131,0,0,31,2,86406,1,2
100001132,1,1,55,2,123221,1,0
100001133,1,1,47,2,133805,1,2
100001134,0,0,34,1,68021,0,2
100001135,1,1,24,0,45174,1,1
100001136,1,1,29,0,62413,0,2
100001137,1,0,39,0,49357,0,1
100001138,0,1,45,1,62125,0,0
100001139,1,1,63,1,107994,1,2
100001140,1,0,32,1,56723,0,1
100001141,1,1,37,2,88442,1,1
100001142,0,1,31,2,122885,2,0
100001143,0,0,36,1,112464,1,2
100001144,0,1,30,0,34661,0,1
100001145,0,0,22,0,20000,0,0
100001146,0,1,47,3,145516,1,2
100001147,1,0,36,2,121736,1,1
100001148,1,0,50,3,144745,1,2
100001149,1,0,29,0,63997,0,1
100001150,1,1,38,2,127923,2,0
100001151,0,1,43,2,121063,2,0
100001152,0,0,18,1,61040,1,0
100001153,0,1,19,0,35302,0,2
100001154,1,0,44,1,64408,0,0
100001155,1,0,36,2,83819,1,2
100001156,1,0,18,1,103033,1,2
100001157,1,0,26,0,35478,0,2
100001158,1,1,23,0,37965,0,0
100001159,1,0,29,0,60237,0,2
100001160,1,1,53,1,79588,0,1
100001161,1,1,28,1,52339,0,0
100001162,1,1,59,2,100852,1,0
100001163,1,0,32,1,65849,0,2
100001164,1,0,26,2,97601,1,0
100001165,0,1,54,3,162153,2,1
100001166,0,1,46,2,102271,2,0
100001167,1,1,52,3,157063,2,2
100001168,0,1,58,1,50395,0,0
100001169,0,0,48,3,137521,2,0
100001170,0,1,50,3,137457,1,2
100001171,1,0,18,0,20000,0,1
100001172,0,0,25,2,134953,2,1
100001173,1,0,41,3,128670,2,2
100001174,0,0,38,0,72033,0,1
100001175,1,1,44,3,106613,1,2
100001176,1,1,30,0,58127,0,1
100001177,1,0,49,3,110720,2,0
100001178,0,1,59,1,69781,0,0
100001179,1,1,42,2,99128,2,0
100001180,1,0,45,1,70693,0,0
100001181,1,1,41,2,101538,1,2
100001182,0,0,47,3,142414,2,1
100001183,0,0,38,1,71808,0,1
100001184,1,0,30,2,89966,1,2
100001185,1,0,38,2,86307,1,0
100001186,0,0,37,0,48145,0,0
100001187,1,0,18,0,42890,1,1
100001188,1,0,38,1,66081,0,0
100001189,0,0,36,1,47839,0,2
100001190,1,1,38,1,110679,1,0
100001191,0,0,29,1,85525,0,2
100001192,0,1,41,3,126523,2,2
100001193,0,0,43,2,95064,1,1
100001194,0,0,27,2,80917,1,0
100001195,1,1,39,2,140279,2,2
100001196,1,1,45,1,96850,1,0
100001197,0,0,44,2,143874,2,1
100001198,0,0,25,0,52153,0,0
100001199,0,0,23,1,39272,0,1
100001200,1,0,36,1,88908,1,1
100001201,1,0,23,1,53625,0,1
100001202,0,1,65,1,110704,1,0
100001203,0,1,26,2,103150,2,0
100001204,0,0,26,1,31643,0,1
100001205,0,1,43,2,99747,1,1
100001206,1,1,30,1,99017,0,1
100001207,1,0,18,0,57328,1,1
100001208,0,1,33,1,110136,1,2
100001209,1,0,23,0,48069,0,2
100001210,0,0,29,0,41650,0,1
100001211,0,0,18,0,65410,1,2
100001212,1,0,24,0,38560,0,1
100001213,0,1,33,0,61983,0,1
100001214,1,0,34,1,66133,0,2
100001215,1,0,22,0,20358,0,2
100001216,0,0,26,0,56672,0,1
100001217,1,1,25,1,73693,0,2
100001218,0,1,36,2,123287,2,2
100001219,1,0,33,2,108864,2,0
100001220,0,1,20,0,42115,0,0
100001221,1,0,42,1,85009,0,2
100001222,1,0,26,2,106770,2,2
100001223,1,0,39,1,89343,0,1
100001224,0,1,24,0,100230,1,1
100001225,1,1,38,1,76407,0,2
100001226,0,1,33,1,49188,0,1
100001227,1,0,35,2,108746,1,0
100001228,0,0,40,3,168722,2,2
100001229,0,0,40,1,48451,0,0
100001230,1,1,36,1,35983,0,0
100001231,0,0,36,1,38340,0,0
100001232,1,0,19,0,38491,0,2
100001233,0,0,33,1,75600,1,2
100001234,1,0,18,0,50066,1,1
100001235,1,0,18,0,22164,0,0
100001236,1,0,31,1,45451,0,2
100001237,0,0,32,1,87597,1,1
100001238,0,0,52,2,154456,2,1
100001239,1,1,42,3,101960,2,0
100001240,1,0,47,3,140681,2,1
100001241,0,0,31,2,81542,1,0
100001242,1,0,40,2,92012,1,1
100001243,0,1,48,2,118789,1,2
100001244,1,0,41,2,88237,1,1
100001245,1,0,39,1,91566,1,0
100001246,1,0,36,1,59747,0,1
100001247,0,1,24,0,24815,0,1
100001248,1,0,24,0,38410,0,0
100001249,1,0,18,1,43755,0,0
100001250,1,1,39,2,131453,1,2
100001251,1,0,31,2,110030,2,0
100001252,0,1,27,0,64759,1,2
100001253,1,1,39,0,80590,0,1
100001254,1,0,28,2,104419,1,2
100001255,0,1,47,1,90831,1,0
100001256,0,1,57,3,145287,1,0
100001257,1,0,40,2,102446,1,2
100001258,0,0,26,0,48088,0,2
100001259,0,0,18,0,35598,1,0
100001260,1,1,59,3,154117,1,0
100001261,1,0,40,3,112745,1,2
100001262,1,0,21,1,43715,0,2
100001263,1,0,47,2,83093,1,0
100001264,1,0,18,1,85183,0,2
100001265,0,0,29,0,67880,0,2
100001266,0,1,32,1,50718,0,1
100001267,0,0,30,0,45492,1,0
100001268,1,0,21,0,64328,0,0
100001269,1,1,63,2,139699,2,2
100001270,0,1,30,0,45368,0,1
100001271,0,1,39,1,64311,0,2
100001272,0,1,35,1,109199,0,2
100001273,0,0,18,1,47500,0,2
100001274,1,0,28,0,21801,0,1
100001275,0,0,37,2,103194,1,1
100001276,0,1,46,2,112004,1,1
100001277,1,0,31,1,48061,0,0
100001278,0,1,39,1,56190,0,1
100001279,0,1,31,1,53026,1,1
100001280,1,1,42,1,47965,0,0
100001281,0,0,18,0,83566,1,1
100001282,1,0,42,1,44706,0,1
100001283,1,1,27,0,53924,0,0
100001284,0,1,28,0,86084,0,2
100001285,1,0,18,0,47798,0,0
100001286,0,0,22,0,56556,1,0
100001287,1,0,42,1,81717,0,0
100001288,0,1,62,1,117328,1,0
100001289,0,0,26,2,64462,1,0
100001290,0,1,27,2,110130,1,2
100001291,0,0,41,2,81899,1,0
100001292,0,0,38,0,20000,0,0
100001293,0,0,28,0,67246,0,2
100001294,0,0,33,0,36456,0,1
100001295,0,1,30,0,42184,0,0
100001296,1,1,42,3,113233,2,0
100001297,0,1,44,1,95683,0,2
100001298,0,1,56,3,152985,2,0
100001299,1,1,46,1,69048,0,1
100001300,0,0,43,3,107643,1,1
100001301,1,1,37,0,60749,1,1
100001302,1,0,46,2,111136,1,1
100001303,1,0,23,0,42451,1,0
100001304,0,0,61,3,120303,1,1
100001305,1,0,38,1,83973,0,2
100001306,0,1,52,3,153765,2,1
100001307,0,1,25,1,100232,1,2
100001308,1,1,47,2,114615,1,0
100001309,0,0,40,2,77882,1,0
100001310,1,1,33,2,119970,2,1
100001311,1,0,27,0,22055,0,0
100001312,0,0,24,1,27378,0,0
100001313,1,1,56,1,111591,1,2
100001314,0,1,50,2,99673,1,0
100001315,1,0,36,2,118959,2,0
100001316,0,0,37,2,95062,1,1
100001317,0,0,26,2,102844,1,1
100001318,1,0,18,1,60823,1,0
100001319,0,0,18,0,32171,0,0
100001320,0,0,28,2,130214,2,1
100001321,1,0,33,1,97707,0,2
100001322,0,1,21,1,48330,0,1
100001323,0,1,45,3,100879,1,2
100001324,0,0,41,2,101379,2,1
100001325,1,0,37,0,98265,1,2
100001326,1,0,18,0,55036,0,0
100001327,1,0,32,0,80800,1,1
100001328,0,0,35,2,122881,1,1
100001329,0,1,20,0,53121,1,1
100001330,0,0,18,0,28751,0,1
100001331,0,1,58,2,138363,1,1
100001332,0,0,42,3,144810,2,0
100001333,1,1,30,0,66975,1,0
100001334,0,1,54,1,82279,0,0
100001335,0,1,48,2,122858,2,0
100001336,1,0,40,1,64951,1,1
100001337,0,0,38,0,62339,0,0
100001338,0,0,44,3,139029,2,0
100001339,1,1,53,1,77390,0,2
100001340,1,0,36,2,86453,1,0
100001341,0,0,32,2,119546,1,2
100001342,1,1,42,2,96719,1,1
100001343,0,0,18,1,63436,1,2
100001344,1,0,36,1,80666,0,2
100001345,1,0,30,2,109797,1,1
100001346,1,0,35,2,115016,1,1
100001347,0,1,33,2,104067,1,0
100001348,0,1,39,2,108880,1,1
100001349,1,1,36,0,69225,1,1
100001350,0,0,36,1,46365,0,2
100001351,0,1,33,2,109414,2,0
100001352,1,1,40,1,61043,0,1
100001353,1,0,29,0,71089,0,1
100001354,1,1,47,1,68320,0,1
100001355,0,0,18,0,70472,1,2
100001356,1,1,37,1,79856,0,1
100001357,0,0,40,3,111363,1,2
100001358,0,1,20,0,33787,1,0
100001359,0,0,30,0,74264,0,2
100001360,0,0,51,3,159126,2,0
100001361,0,0,33,1,39608,0,1
100001362,0,0,24,1,50548,0,0
100001363,1,0,18,0,49786,0,0
100001364,0,0,39,2,112404,2,1
100001365,0,0,36,0,44622,0,0
100001366,1,0,42,1,65248,0,0
100001367,1,0,60,1,80783,0,1
100001368,1,0,35,0,43222,0,1
100001369,1,1,37,2,62657,1,1
100001370,1,0,27,1,54485,1,0
100001371,0,1,34,1,87688,1,2
100001372,1,1,35,2,95759,1,0
100001373,0,1,44,3,157558,1,2
100001374,1,1,42,1,136226,1,2
100001375,0,0,26,0,72272,0,2
100001376,0,1,29,0,40875,0,0
100001377,0,0,52,1,62977,0,1
100001378,0,1,23,0,38310,0,1
100001379,1,1,44,2,152128,2,2
100001380,1,1,54,3,128924,1,1
100001381,1,0,43,3,126055,1,1
100001382,0,0,38,1,95350,0,2
100001383,0,0,51,2,119928,2,1
100001384,0,0,39,0,43573,0,1
100001385,1,0,35,2,131373,1,2
100001386,0,1,33,2,99873,1,0
100001387,0,0,49,1,103665,1,0
100001388,0,0,43,3,126701,1,1
100001389,1,0,54,2,109259,1,2
100001390,1,0,31,2,137976,2,1
100001391,0,0,31,2,84165,1,0
100001392,1,1,30,0,46925,0,0
100001393,0,0,38,1,85538,0,2
100001394,1,1,27,0,64021,1,0
100001395,0,0,46,1,58215,0,1
100001396,0,0,39,1,69107,0,0
100001397,1,0,23,0,22616,0,1
100001398,0,0,18,0,34813,0,0
100001399,0,1,18,0,51903,1,1
100001400,1,1,52,1,110721,0,2
100001401,1,1,34,0,69812,1,2
100001402,1,0,37,0,42784,0,0
100001403,0,1,30,2,114927,2,1
100001404,0,0,40,2,84477,1,2
100001405,0,0,18,0,26107,0,0
100001406,0,0,18,0,48888,1,0
100001407,0,1,18,0,33849,0,2
100001408,0,0,36,2,107494,1,2
100001409,1,1,43,2,131553,2,1
100001410,0,1,41,3,134564,1,2
100001411,1,0,33,0,57662,0,1
100001412,0,0,20,0,74845,1,1
100001413,0,0,45,3,149107,1,2
100001414,0,0,32,0,36379,0,0
100001415,0,0,35,1,90977,1,1
100001416,0,1,34,0,49825,0,1
100001417,0,0,29,2,97314,1,2
100001418,1,0,26,2,94333,1,2
100001419,1,0,28,1,56279,1,0
100001420,0,0,19,0,53000,1,0
100001421,0,0,38,1,102635,1,1
100001422,1,0,33,2,105047,2,0
100001423,0,1,47,2,103346,1,1
100001424,0,0,18,0,35646,1,0
100001425,1,1,49,2,92497,1,1
100001426,0,0,34,2,83743,1,1
100001427,1,1,33,1,66938,0,1
100001428,1,0,25,1,25002,0,0
100001429,0,0,25,1,81726,0,1
100001430,0,0,18,0,69188,1,1
100001431,0,1,46,3,133281,1,2
100001432,1,1,32,2,117391,2,2
100001433,1,0,44,1,86415,0,1
100001434,0,1,45,2,103803,1,1
100001435,0,0,29,0,82974,0,2
100001436,0,0,32,2,124411,2,2
100001437,0,0,31,2,104442,1,1
100001438,0,0,47,1,91017,1,2
100001439,1,0,37,1,103670,1,1
100001440,1,1,37,0,87902,1,2
100001441,1,0,44,2,123621,1,2
100001442,1,1,34,1,110137,1,1
100001443,1,1,59,3,122338,1,1
100001444,1,0,24,1,57835,1,2
100001445,0,1,50,3,90747,1,0
100001446,1,1,52,3,127275,1,2
100001447,0,0,21,0,34631,0,1
100001448,0,0,45,2,111502,1,2
100001449,1,1,38,1,95682,1,1
100001450,0,1,45,3,148116,1,2
100001451,0,1,21,1,43992,0,1
100001452,1,1,38,2,129775,1,2
100001453,0,1,23,0,41417,0,2
100001454,0,0,31,2,83351,1,1
100001455,0,0,52,3,168718,2,2
100001456,0,1,33,2,104365,1,0
100001457,1,0,18,1,62709,0,1
100001458,0,0,18,0,20000,0,0
100001459,1,1,21,0,52571,0,0
100001460,0,1,47,3,123851,1,0
100001461,1,1,27,1,56300,0,2
100001462,1,1,18,1,45268,0,0
100001463,1,1,48,2,142657,2,2
100001464,1,0,38,0,53207,0,1
100001465,0,0,39,0,65943,1,1
100001466,0,0,25,2,126174,1,2
100001467,1,0,52,3,130699,1,2
100001468,0,0,34,1,79145,0,2
